Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
-38.85974884,248.2692261,-2883.435547,-58.00858688,246.5185242,-2876.532227,-45.9730072,245.5772095,-2878.713867,-14.70300484,249.933136,-2898.595459,-4.21055603,253.2766571,-2912.700928,-8.192848206,251.8422699,-2904.217041
-38.87054443,248.2660522,-2883.4375,-58.0219574,246.5180206,-2876.538818,-45.98801422,245.5762787,-2878.716064,-14.70864296,249.9234467,-2898.590332,-4.213402748,253.2666626,-2912.693848,-8.197141647,251.8322754,-2904.210449
-38.8756485,248.2622986,-2883.4375,-58.03017807,246.515564,-2876.541504,-45.99584198,245.5732422,-2878.717773,-14.71396828,249.916626,-2898.589355,-4.215496063,253.2565308,-2912.689941,-8.200553894,251.8225098,-2904.208496
-38.88617706,248.2586823,-2883.438721,-58.04476547,246.5144196,-2876.548096,-46.00783157,245.5728149,-2878.721191,-14.72294712,249.9128571,-2898.585938,-4.221341133,253.2484589,-2912.687012,-8.207458496,251.8181763,-2904.205078
-38.89237976,248.2593231,-2883.437988,-58.05389404,246.5197144,-2876.549072,-46.02052689,245.5744476,-2878.722168,-14.72690678,249.9079132,-2898.582031,-4.224259377,253.2417908,-2912.682129,-8.211547852,251.8116608,-2904.200195
-38.90076828,248.2567596,-2883.439697,-58.0640564,246.5194244,-2876.551025,-46.03446579,245.5725403,-2878.724365,-14.73311997,249.9010315,-2898.578613,-4.229055405,253.2333679,-2912.677979,-8.219126701,251.8053741,-2904.196289
-38.90362167,248.2495117,-2883.438477,-58.07124329,246.5089264,-2876.550781,-46.03667831,245.5637054,-2878.723633,-14.73470593,249.8943176,-2898.574707,-4.230082035,253.2280579,-2912.674316,-8.21942234,251.7976837,-2904.191895
-38.89396286,248.2337952,-2883.437988,-58.05686569,246.489151,-2876.550049,-46.02264786,245.5482483,-2878.721924,-14.72625923,249.8887177,-2898.575439,-4.221939564,253.2228546,-2912.674072,-8.210861206,251.7928467,-2904.192871
-38.89461517,248.2299194,-2883.437012,-58.05862427,246.4820099,-2876.551025,-46.02633667,245.543457,-2878.722412,-14.72698784,249.8867493,-2898.576172,-4.224571228,253.2240143,-2912.674805,-8.212972641,251.7931213,-2904.195313
-38.90784454,248.2309723,-2883.435791,-58.07191467,246.4825439,-2876.550293,-46.03933334,245.5431213,-2878.722168,-14.73622704,249.8852081,-2898.571777,-4.233083248,253.2216644,-2912.668457,-8.221231461,251.7901001,-2904.187256
-38.91063309,248.2266235,-2883.429688,-58.07680893,246.4828339,-2876.546143,-46.04292297,245.5414124,-2878.719238,-14.73712158,249.8802948,-2898.561523,-4.230863571,253.2157288,-2912.657959,-8.222411156,251.7849731,-2904.177734
-38.92142487,248.2347107,-2883.426758,-58.0903244,246.491394,-2876.545898,-46.05656433,245.5485229,-2878.716309,-14.74884319,249.8829803,-2898.556396,-4.240087509,253.218277,-2912.6521,-8.234311104,251.7883759,-2904.173584
