Number of frames: 2500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
1,55.371948242,255.192855835,-2901.607910156,49.865802765,257.842895508,-2882.324218750,54.706054688,253.537460327,-2892.863037109,57.174388885,253.432250977,-2930.342041016,52.801654816,255.810455322,-2947.083984375,57.112678528,254.072799683,-2938.744873047,
2,55.353256226,255.197189331,-2901.594482422,49.859882355,257.859802246,-2882.308593750,54.686218262,253.547500610,-2892.847656250,57.165706635,253.406234741,-2930.324462891,52.780483246,255.782196045,-2947.071289063,57.091186523,254.047378540,-2938.730712891,
3,55.337211609,255.204666138,-2901.580810547,49.868556976,257.886291504,-2882.293945313,54.667415619,253.568405151,-2892.833496094,57.150375366,253.390884399,-2930.309814453,52.754905701,255.753234863,-2947.060058594,57.065670013,254.023941040,-2938.717285156,
4,55.319393158,255.221786499,-2901.571777344,49.869552612,257.918792725,-2882.286132813,54.655300140,253.590103149,-2892.823730469,57.133110046,253.395172119,-2930.302490234,52.732479095,255.731719971,-2947.050537109,57.041515350,254.009185791,-2938.709716797,
5,55.309612274,255.233016968,-2901.573486328,49.881034851,257.938720703,-2882.286865234,54.637512207,253.606155396,-2892.825439453,57.134010315,253.400283813,-2930.302978516,52.710826874,255.716979980,-2947.052978516,57.013919830,253.999511719,-2938.713623047,
6,55.300479889,255.228805542,-2901.586669922,49.876216888,257.944091797,-2882.301757813,54.635074615,253.602508545,-2892.837402344,57.120040894,253.409774780,-2930.317626953,52.688022614,255.706527710,-2947.067626953,56.989734650,253.989349365,-2938.726806641,
7,55.289623260,255.215270996,-2901.604492188,49.852619171,257.940521240,-2882.322753906,54.622238159,253.587783813,-2892.856445313,57.098655701,253.418777466,-2930.338378906,52.673175812,255.701904297,-2947.085693359,56.972496033,253.983779907,-2938.744628906,
8,55.292057037,255.195968628,-2901.622314453,49.838432312,257.920074463,-2882.342529297,54.621295929,253.567733765,-2892.874267578,57.085910797,253.421203613,-2930.360595703,52.669399261,255.704437256,-2947.101806641,56.968902588,253.983032227,-2938.763427734,
9,55.291393280,255.173202515,-2901.636962891,49.823757172,257.891601563,-2882.358886719,54.623638153,253.537322998,-2892.891601563,57.075534821,253.408645630,-2930.377685547,52.667282104,255.707519531,-2947.116943359,56.966007233,253.981643677,-2938.780517578,
10,55.294235229,255.165679932,-2901.638183594,49.797191620,257.877746582,-2882.362060547,54.618930817,253.527725220,-2892.895019531,57.075668335,253.395629883,-2930.377929688,52.680442810,255.708221436,-2947.117431641,56.978958130,253.980468750,-2938.780761719,
11,55.273918152,255.153503418,-2901.619873047,49.761249542,257.873870850,-2882.349853516,54.593227386,253.518920898,-2892.877197266,57.071258545,253.365112305,-2930.358642578,52.691322327,255.685882568,-2947.102539063,56.987697601,253.961242676,-2938.762451172,
12,55.253940582,255.139892578,-2901.608886719,49.734146118,257.861877441,-2882.337402344,54.563255310,253.510055542,-2892.865722656,57.065719604,253.333694458,-2930.341552734,52.675750732,255.671264648,-2947.088134766,56.970851898,253.948928833,-2938.749511719,
13,55.245784760,255.123840332,-2901.600585938,49.735149384,257.834655762,-2882.326416016,54.556640625,253.491317749,-2892.857421875,57.047248840,253.313201904,-2930.332519531,52.647968292,255.664581299,-2947.075927734,56.948024750,253.937194824,-2938.741210938,
14,55.220981598,255.122787476,-2901.584960938,49.736484528,257.828186035,-2882.307617188,54.538753510,253.490859985,-2892.843261719,57.027847290,253.298156738,-2930.316894531,52.613857269,255.650711060,-2947.060546875,56.906139374,253.927795410,-2938.729003906,
15,55.192523956,255.133590698,-2901.559814453,49.724044800,257.850799561,-2882.282958984,54.513805389,253.508300781,-2892.817382813,57.011024475,253.291305542,-2930.288330078,52.583351135,255.628372192,-2947.036376953,56.872203827,253.911254883,-2938.702880859,
16,55.170696259,255.150085449,-2901.533691406,49.718002319,257.884399414,-2882.257568359,54.479572296,253.539886475,-2892.792236328,56.990695953,253.286575317,-2930.260742188,52.559226990,255.599456787,-2947.010498047,56.842468262,253.891021729,-2938.676513672,
17,55.152721405,255.169998169,-2901.515136719,49.722873688,257.919769287,-2882.239257813,54.464839935,253.570526123,-2892.771484375,56.969795227,253.289627075,-2930.241943359,52.539741516,255.574630737,-2946.994140625,56.811626434,253.880081177,-2938.659423828,
18,55.136138916,255.189346313,-2901.502929688,49.709804535,257.957489014,-2882.229980469,54.445701599,253.595458984,-2892.760253906,56.939018250,253.288314819,-2930.230468750,52.518421173,255.547943115,-2946.984619141,56.791084290,253.860260010,-2938.646484375,
19,55.134094238,255.200668335,-2901.484619141,49.691551208,257.996185303,-2882.216552734,54.441555023,253.618087769,-2892.738525391,56.903099060,253.271545410,-2930.213134766,52.507625580,255.501525879,-2946.965820313,56.780067444,253.825637817,-2938.627441406,
20,55.120079041,255.210540771,-2901.445068359,49.652835846,258.049621582,-2882.184814453,54.434555054,253.644042969,-2892.694091797,56.877540588,253.212921143,-2930.170410156,52.506240845,255.423141479,-2946.924804688,56.781002045,253.763702393,-2938.586669922,
21,55.105072021,255.223785400,-2901.382812500,49.617458344,258.116302490,-2882.131103516,54.410320282,253.676116943,-2892.627685547,56.852603912,253.141860962,-2930.103515625,52.510082245,255.322219849,-2946.862060547,56.784801483,253.684478760,-2938.518798828,
22,55.065959930,255.241806030,-2901.301269531,49.579700470,258.200683594,-2882.058837891,54.357997894,253.718612671,-2892.544433594,56.818279266,253.074050903,-2930.016845703,52.496337891,255.207778931,-2946.783935547,56.766849518,253.585739136,-2938.429931641,
23,54.978214264,255.258193970,-2901.198974609,49.488040924,258.312469482,-2881.968750000,54.246128082,253.773071289,-2892.440429688,57.185901642,253.232894897,-2929.744873047,52.457000732,255.058853149,-2946.683105469,56.716354370,253.454284668,-2938.316406250,
24,54.842323303,255.263778687,-2901.062744141,49.334861755,258.437927246,-2881.853759766,54.088939667,253.822555542,-2892.302490234,57.094573975,253.128051758,-2929.598388672,52.397357941,254.848281860,-2946.545166016,56.632061005,253.281646729,-2938.170166016,
25,54.674972534,255.258651733,-2900.894531250,49.138000488,258.567138672,-2881.711181641,53.911663055,253.870346069,-2892.126464844,56.987182617,252.975234985,-2929.409423828,52.307994843,254.582473755,-2946.380371094,56.531867981,253.052810669,-2937.988525391,
26,54.503162384,255.238647461,-2900.683105469,48.943145752,258.689208984,-2881.527099609,53.732006073,253.903198242,-2891.909179688,56.856693268,252.776260376,-2929.181396484,52.205963135,254.260391235,-2946.170410156,56.428852081,252.767425537,-2937.760253906,
27,54.320220947,255.202072144,-2900.437988281,48.758251190,258.798522949,-2881.305175781,53.530406952,253.939605713,-2891.657958984,56.706817627,252.525421143,-2928.912353516,52.053169250,253.888778687,-2945.918457031,56.283241272,252.465896606,-2937.489257813,
28,54.168178558,255.300994873,-2900.232910156,48.713153839,258.952117920,-2881.083984375,53.445541382,254.061889648,-2891.439208984,56.430610657,252.427368164,-2928.691406250,51.659332275,253.651504517,-2945.690673828,55.931320190,252.304550171,-2937.275390625,
29,54.008163452,255.207504272,-2899.995605469,48.641334534,258.910278320,-2880.822509766,53.322296143,254.019515991,-2891.188476563,56.146625519,252.241470337,-2928.441162109,51.286457062,253.401931763,-2945.426757813,55.608161926,252.095657349,-2937.027587891,
