Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
55.37194824,255.1928558,-2901.60791,49.86580277,257.8428955,-2882.324219,54.70605469,253.5374603,-2892.863037,57.17438889,253.432251,-2930.342041,52.80165482,255.8104553,-2947.083984,57.11267853,254.0727997,-2938.744873
55.35325623,255.1971893,-2901.594482,49.85988236,257.8598022,-2882.308594,54.68621826,253.5475006,-2892.847656,57.16570664,253.4062347,-2930.324463,52.78048325,255.782196,-2947.071289,57.09118652,254.0473785,-2938.730713
55.33721161,255.2046661,-2901.580811,49.86855698,257.8862915,-2882.293945,54.66741562,253.5684052,-2892.833496,57.15037537,253.3908844,-2930.309814,52.7549057,255.7532349,-2947.060059,57.06567001,254.023941,-2938.717285
55.31939316,255.2217865,-2901.571777,49.86955261,257.9187927,-2882.286133,54.65530014,253.5901031,-2892.82373,57.13311005,253.3951721,-2930.30249,52.7324791,255.73172,-2947.050537,57.04151535,254.0091858,-2938.709717
55.30961227,255.233017,-2901.573486,49.88103485,257.9387207,-2882.286865,54.63751221,253.6061554,-2892.825439,57.13401032,253.4002838,-2930.302979,52.71082687,255.71698,-2947.052979,57.01391983,253.9995117,-2938.713623
55.30047989,255.2288055,-2901.58667,49.87621689,257.9440918,-2882.301758,54.63507462,253.6025085,-2892.837402,57.12004089,253.4097748,-2930.317627,52.68802261,255.7065277,-2947.067627,56.98973465,253.9893494,-2938.726807
55.28962326,255.215271,-2901.604492,49.85261917,257.9405212,-2882.322754,54.62223816,253.5877838,-2892.856445,57.0986557,253.4187775,-2930.338379,52.67317581,255.7019043,-2947.085693,56.97249603,253.9837799,-2938.744629
55.29205704,255.1959686,-2901.622314,49.83843231,257.9200745,-2882.342529,54.62129593,253.5677338,-2892.874268,57.0859108,253.4212036,-2930.360596,52.66939926,255.7044373,-2947.101807,56.96890259,253.9830322,-2938.763428
55.29139328,255.1732025,-2901.636963,49.82375717,257.8916016,-2882.358887,54.62363815,253.537323,-2892.891602,57.07553482,253.4086456,-2930.377686,52.6672821,255.7075195,-2947.116943,56.96600723,253.9816437,-2938.780518
55.29423523,255.1656799,-2901.638184,49.79719162,257.8777466,-2882.362061,54.61893082,253.5277252,-2892.89502,57.07566834,253.3956299,-2930.37793,52.68044281,255.7082214,-2947.117432,56.97895813,253.9804688,-2938.780762
55.27391815,255.1535034,-2901.619873,49.76124954,257.8738709,-2882.349854,54.59322739,253.5189209,-2892.877197,57.07125855,253.3651123,-2930.358643,52.69132233,255.6858826,-2947.102539,56.9876976,253.9612427,-2938.762451
55.25394058,255.1398926,-2901.608887,49.73414612,257.8618774,-2882.337402,54.56325531,253.5100555,-2892.865723,57.0657196,253.3336945,-2930.341553,52.67575073,255.6712646,-2947.088135,56.9708519,253.9489288,-2938.749512
55.24578476,255.1238403,-2901.600586,49.73514938,257.8346558,-2882.326416,54.55664063,253.4913177,-2892.857422,57.04724884,253.3132019,-2930.33252,52.64796829,255.6645813,-2947.075928,56.94802475,253.9371948,-2938.741211
55.2209816,255.1227875,-2901.584961,49.73648453,257.828186,-2882.307617,54.53875351,253.49086,-2892.843262,57.02784729,253.2981567,-2930.316895,52.61385727,255.6507111,-2947.060547,56.90613937,253.9277954,-2938.729004
55.19252396,255.1335907,-2901.559814,49.7240448,257.8507996,-2882.282959,54.51380539,253.5083008,-2892.817383,57.01102448,253.2913055,-2930.28833,52.58335114,255.6283722,-2947.036377,56.87220383,253.9112549,-2938.702881
55.17069626,255.1500854,-2901.533691,49.71800232,257.8843994,-2882.257568,54.4795723,253.5398865,-2892.792236,56.99069595,253.2865753,-2930.260742,52.55922699,255.5994568,-2947.010498,56.84246826,253.8910217,-2938.676514
55.15272141,255.1699982,-2901.515137,49.72287369,257.9197693,-2882.239258,54.46483994,253.5705261,-2892.771484,56.96979523,253.2896271,-2930.241943,52.53974152,255.5746307,-2946.994141,56.81162643,253.8800812,-2938.659424
55.13613892,255.1893463,-2901.50293,49.70980454,257.957489,-2882.22998,54.4457016,253.595459,-2892.760254,56.93901825,253.2883148,-2930.230469,52.51842117,255.5479431,-2946.984619,56.79108429,253.86026,-2938.646484
55.13409424,255.2006683,-2901.484619,49.69155121,257.9961853,-2882.216553,54.44155502,253.6180878,-2892.738525,56.90309906,253.2715454,-2930.213135,52.50762558,255.5015259,-2946.96582,56.78006744,253.8256378,-2938.627441
55.12007904,255.2105408,-2901.445068,49.65283585,258.0496216,-2882.184814,54.43455505,253.644043,-2892.694092,56.87754059,253.2129211,-2930.17041,52.50624085,255.4231415,-2946.924805,56.78100205,253.7637024,-2938.58667
55.10507202,255.2237854,-2901.382813,49.61745834,258.1163025,-2882.131104,54.41032028,253.6761169,-2892.627686,56.85260391,253.141861,-2930.103516,52.51008225,255.3222198,-2946.862061,56.78480148,253.6844788,-2938.518799
55.06595993,255.241806,-2901.30127,49.57970047,258.2006836,-2882.058838,54.35799789,253.7186127,-2892.544434,56.81827927,253.0740509,-2930.016846,52.49633789,255.2077789,-2946.783936,56.76684952,253.5857391,-2938.429932
54.97821426,255.258194,-2901.198975,49.48804092,258.3124695,-2881.96875,54.24612808,253.7730713,-2892.44043,57.18590164,253.2328949,-2929.744873,52.45700073,255.0588531,-2946.683105,56.71635437,253.4542847,-2938.316406
54.8423233,255.2637787,-2901.062744,49.33486176,258.4379272,-2881.85376,54.08893967,253.8225555,-2892.30249,57.09457398,253.1280518,-2929.598389,52.39735794,254.8482819,-2946.545166,56.63206101,253.2816467,-2938.170166
54.67497253,255.2586517,-2900.894531,49.13800049,258.5671387,-2881.711182,53.91166306,253.8703461,-2892.126465,56.98718262,252.975235,-2929.409424,52.30799484,254.5824738,-2946.380371,56.53186798,253.0528107,-2937.988525
54.50316238,255.2386475,-2900.683105,48.94314575,258.689209,-2881.5271,53.73200607,253.9031982,-2891.90918,56.85669327,252.7762604,-2929.181396,52.20596314,254.2603912,-2946.17041,56.42885208,252.7674255,-2937.760254
54.32022095,255.2020721,-2900.437988,48.75825119,258.7985229,-2881.305176,53.53040695,253.9396057,-2891.657959,56.70681763,252.5254211,-2928.912354,52.05316925,253.8887787,-2945.918457,56.28324127,252.4658966,-2937.489258
54.16817856,255.3009949,-2900.23291,48.71315384,258.9521179,-2881.083984,53.44554138,254.0618896,-2891.439209,56.43061066,252.4273682,-2928.691406,51.65933228,253.6515045,-2945.690674,55.93132019,252.3045502,-2937.275391
54.00816345,255.2075043,-2899.995605,48.64133453,258.9102783,-2880.82251,53.32229614,254.019516,-2891.188477,56.14662552,252.2414703,-2928.441162,51.28645706,253.4019318,-2945.426758,55.60816193,252.0956573,-2937.027588
53.77073669,255.1406555,-2899.611328,48.38549423,259.0247498,-2880.473633,53.06974793,254.0317383,-2890.804199,55.90221787,251.9395294,-2928.036133,51.05683899,252.9376526,-2945.023682,55.39270783,251.7040863,-2936.615723
53.4957428,255.1158295,-2899.107666,48.00455475,259.2668762,-2880.035645,52.77160263,254.1183777,-2890.295654,55.68717575,251.5640411,-2927.47998,50.94181442,252.3435516,-2944.499756,55.24458313,251.2174225,-2936.065186
53.23138428,255.1493988,-2898.561035,47.62014008,259.6283264,-2879.589844,52.4749794,254.2810364,-2889.742188,55.52054215,251.1271057,-2926.85791,50.89311981,251.6450806,-2943.915039,55.14321899,250.6484833,-2935.445557
52.97460938,255.2177124,-2898.008301,47.22671509,260.0482788,-2879.134521,52.18857193,254.4861298,-2889.178711,55.36560822,250.6673737,-2926.208984,50.83863449,250.9112244,-2943.300293,55.04340744,250.0398102,-2934.796875
52.72663879,255.2694702,-2897.431396,46.93861389,260.4356689,-2878.64502,51.91649246,254.6763,-2888.597168,55.17173004,250.2837219,-2925.544189,50.71712112,250.2411957,-2942.650635,54.89731979,249.4983826,-2934.124268
52.49221039,255.3881073,-2896.783691,46.66848373,260.8357544,-2878.083008,51.66872406,254.8939362,-2887.947998,54.9855423,249.9746399,-2924.803955,50.59610748,249.6813812,-2941.925293,54.74246597,249.0745392,-2933.384277
52.27954483,255.611969,-2896.042725,46.39176559,261.3597107,-2877.433594,51.21528244,255.7515106,-2887.380859,54.85534287,249.7899628,-2923.963623,50.52461624,249.2413025,-2941.101807,54.62325668,248.7749939,-2932.544922
52.11267471,255.9508972,-2895.217285,46.1488266,261.9649048,-2876.696289,50.99443054,256.2373657,-2886.562012,54.792202,249.7457123,-2923.0354,50.53390503,248.9434357,-2940.185303,54.60858917,248.6008606,-2931.609375
51.97883987,256.4222412,-2894.3396,45.93032455,262.7003174,-2875.929932,50.81390762,256.8403625,-2885.69458,54.82637405,249.8131256,-2922.045898,50.66503525,248.7409515,-2939.206299,54.69709396,248.5323944,-2930.610596
51.89352799,257.0282593,-2893.470947,45.67956924,263.6165161,-2875.199951,50.67391968,257.6001282,-2884.838379,54.97012711,249.9996338,-2921.035889,50.92887116,248.6240997,-2938.212158,54.91950226,248.5625763,-2929.583496
51.9018631,257.8345032,-2892.74585,45.49569321,264.7743835,-2874.652344,50.61424637,258.5786133,-2884.134521,55.22533417,250.2380524,-2920.127197,51.32296372,248.4713135,-2937.300049,55.23695374,248.6250305,-2928.655518
52.04999161,258.5882263,-2892.189697,45.4580574,265.8805542,-2874.2854,50.6625824,259.5241699,-2883.602051,55.57037735,250.4272461,-2919.363525,51.80689621,248.2483826,-2936.526123,55.64590073,248.6174774,-2927.864502
52.21150208,259.1299438,-2891.67334,45.47343445,266.6922913,-2873.924316,50.77198029,260.2279663,-2883.112549,55.98336411,250.5009003,-2918.662109,52.33733368,247.9629211,-2935.808105,56.12585831,248.5302734,-2927.139893
52.44244385,259.6047668,-2891.19751,45.5049057,267.3979187,-2873.601074,50.91230011,260.8405762,-2882.661865,56.41203308,250.5681915,-2918.014893,52.91188812,247.6871796,-2935.125977,56.65196991,248.4325104,-2926.458252
