Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z
127.0158157,265.9931946,-2801.634766,118.0062866,261.8727417,-2783.928711,123.5253525,261.545166,-2794.78418,134.6588898,275.4305725,-2827.662598,136.2223816,285.7087402,-2841.326416,137.6596375,279.2127075,-2834.470703
127.0095367,265.9877014,-2801.63623,118.0236053,261.8587952,-2783.926025,123.523056,261.5383301,-2794.782959,134.6616669,275.4190979,-2827.661865,136.2297821,285.701355,-2841.323975,137.6665497,279.2049255,-2834.467773
127.0068436,265.9751587,-2801.635254,118.0289764,261.8460388,-2783.923584,123.5173264,261.5276184,-2794.783447,134.6538239,275.4100952,-2827.662354,136.2341766,285.6914063,-2841.323242,137.6675568,279.1942749,-2834.467773
127.0030594,265.9695435,-2801.63501,118.0297394,261.8386536,-2783.922119,123.5147324,261.5226746,-2794.782715,134.6531372,275.405426,-2827.659424,136.2378693,285.683075,-2841.321533,137.6745758,279.1834717,-2834.465576
127.0028992,265.9780579,-2801.631836,118.0189133,261.8366089,-2783.922119,123.5090256,261.5318604,-2794.780762,134.6573334,275.4095459,-2827.656494,136.2381439,285.6822815,-2841.317871,137.6757965,279.1845398,-2834.461914
127.0040283,265.979126,-2801.628662,118.0100632,261.84729,-2783.920898,123.513855,261.5312805,-2794.778809,134.6546021,275.4144287,-2827.654297,136.2328949,285.6825867,-2841.315674,137.6720581,279.1832581,-2834.460205
127.0137711,265.9825745,-2801.626953,117.992363,261.8611755,-2783.924072,123.512825,261.5415344,-2794.778076,134.6585999,275.4203796,-2827.653564,136.2189789,285.684082,-2841.314697,137.6566467,279.185791,-2834.459717
127.0059891,265.995575,-2801.626465,117.9681091,261.8738709,-2783.927002,123.5159683,261.5470581,-2794.7771,134.6595917,275.4274292,-2827.652832,136.2018433,285.6907654,-2841.315918,137.6395111,279.1925049,-2834.460693
127.0087357,266.0054626,-2801.627441,117.9549179,261.8647156,-2783.925537,123.5188904,261.5567322,-2794.778076,134.661499,275.4371338,-2827.653564,136.1928864,285.6994934,-2841.317871,137.6306152,279.2022705,-2834.462158
127.0114517,266.0015564,-2801.63208,117.926918,261.875946,-2783.934082,123.5241699,261.5512085,-2794.778809,134.6581726,275.4385681,-2827.656982,136.1819763,285.7041321,-2841.323486,137.6192169,279.206665,-2834.468018
127.0139084,265.9868164,-2801.631348,117.9116898,261.8847656,-2783.941406,123.5166626,261.5440369,-2794.782715,134.6608124,275.4235535,-2827.658936,136.1731262,285.7015991,-2841.328613,137.6098633,279.2043457,-2834.472412
127.0054626,265.9797363,-2801.633789,117.9119492,261.8707275,-2783.942383,123.5104218,261.533905,-2794.785645,134.6551514,275.413208,-2827.6604,136.1649475,285.6998596,-2841.331299,137.6007233,279.2037048,-2834.475098
127.0040741,265.9742432,-2801.635254,117.903595,261.8572693,-2783.942383,123.5060272,261.5265198,-2794.786377,134.6490326,275.4080811,-2827.661621,136.1598206,285.700531,-2841.333008,137.5920715,279.2054443,-2834.478271
127.0009842,265.9685669,-2801.636719,117.8978195,261.8500061,-2783.943848,123.5050278,261.524231,-2794.787109,134.6521912,275.4014282,-2827.660889,136.1577606,285.6992188,-2841.334229,137.5896759,279.2025757,-2834.47998
126.9990997,265.9815979,-2801.63623,117.8917313,261.8526611,-2783.946045,123.5046539,261.5348816,-2794.786865,134.6582336,275.4101257,-2827.658936,136.1606598,285.7001648,-2841.332764,137.5930481,279.2027893,-2834.478271
127.0112534,265.9878845,-2801.633301,117.8779068,261.8693237,-2783.947754,123.5106812,261.5439148,-2794.7854,134.6629791,275.4194336,-2827.657227,136.1655426,285.7035828,-2841.329834,137.5993958,279.2061462,-2834.475098
127.0073242,266.0046387,-2801.633057,117.8895874,261.8612366,-2783.940918,123.5099411,261.5575256,-2794.784424,134.6615753,275.4326782,-2827.656006,136.1791077,285.7057495,-2841.324951,137.6116028,279.209259,-2834.469971
127.0082779,266.0041199,-2801.632568,117.902359,261.8703918,-2783.939453,123.519104,261.5541992,-2794.781738,134.6642303,275.4335632,-2827.654297,136.1850739,285.7069092,-2841.32251,137.6220551,279.2090454,-2834.467041
127.003334,266.0076599,-2801.630615,117.9113083,261.874939,-2783.936523,123.519043,261.5538025,-2794.779297,134.6638336,275.4289551,-2827.653809,136.1886444,285.7056885,-2841.321045,137.6240234,279.2077332,-2834.465576
126.9959488,265.996521,-2801.63208,117.9372864,261.8765869,-2783.934326,123.5176468,261.5437622,-2794.778809,134.6609344,275.4208984,-2827.652588,136.1927643,285.7030029,-2841.320557,137.6257477,279.2044373,-2834.465576
127.0039139,265.9851685,-2801.631104,117.9626465,261.8674622,-2783.927734,123.5177231,261.5350952,-2794.779053,134.6599426,275.4136658,-2827.652344,136.1909027,285.7010498,-2841.321777,137.6265717,279.2016602,-2834.466797
127.0012817,265.9801331,-2801.633301,117.9829712,261.8705444,-2783.928223,123.5093765,261.5335083,-2794.781738,134.6603088,275.4082642,-2827.655029,136.1962128,285.6993408,-2841.323242,137.6293182,279.2029114,-2834.467773
126.9972305,265.9790955,-2801.634766,118.0065231,261.867218,-2783.926514,123.5104294,261.5270386,-2794.782959,134.6598053,275.4015198,-2827.655762,136.2033691,285.6954041,-2841.325439,137.6372681,279.1981812,-2834.468506
127.0029373,265.9797668,-2801.635498,118.0107346,261.8768616,-2783.927002,123.5109024,261.5288696,-2794.78418,134.6575775,275.4069824,-2827.658447,136.2123108,285.694458,-2841.325928,137.6446075,279.1979675,-2834.468994
127.0072708,265.9819031,-2801.635742,118.0076065,261.8764343,-2783.928711,123.5168839,261.5293884,-2794.783447,134.6539764,275.4146423,-2827.659424,136.220459,285.6943054,-2841.322754,137.6559143,279.196106,-2834.467285
127.0130844,265.9932251,-2801.634033,118.0094604,261.874054,-2783.927979,123.5220795,261.542572,-2794.782471,134.6626587,275.4220886,-2827.658447,136.229538,285.6917725,-2841.31958,137.6618042,279.1943359,-2834.46582
127.0105438,265.9992981,-2801.632813,118.0002213,261.8685608,-2783.927002,123.5237122,261.5494385,-2794.781982,134.6614532,275.4288025,-2827.657715,136.2315216,285.6904602,-2841.31665,137.6630402,279.1934814,-2834.462158
127.0135117,266.0063477,-2801.633789,117.9983978,261.8702087,-2783.928955,123.5267639,261.5562439,-2794.780762,134.6624298,275.4364929,-2827.657227,136.2339172,285.6924438,-2841.315674,137.6708984,279.1940918,-2834.458984
127.0141983,266.0017395,-2801.630859,117.9953918,261.8569336,-2783.926758,123.5220566,261.5525208,-2794.779541,134.6694946,275.428833,-2827.654297,136.232605,285.6914063,-2841.315186,137.6690826,279.1945496,-2834.45874
127.0176544,265.9901733,-2801.62915,117.9843979,261.8469543,-2783.927246,123.5194016,261.545105,-2794.779297,134.6605225,275.4239502,-2827.654297,136.2240753,285.6903992,-2841.315918,137.6603851,279.1946106,-2834.459961
127.0001755,265.9804077,-2801.63208,117.9723587,261.8373718,-2783.928223,123.5130692,261.5306091,-2794.77832,134.648468,275.4136047,-2827.655029,136.214447,285.6890869,-2841.31665,137.6496735,279.1925354,-2834.462891
127.0029602,265.9663696,-2801.629883,117.9451981,261.8431091,-2783.931885,123.5046997,261.5213013,-2794.778564,134.6507568,275.4013977,-2827.653809,136.2023621,285.6899109,-2841.318848,137.6362762,279.1940308,-2834.464844
127.0028763,265.9641418,-2801.626953,117.9299469,261.8491516,-2783.933594,123.5084839,261.5172119,-2794.778076,134.6425323,275.4019775,-2827.656494,136.1852875,285.6964417,-2841.321777,137.6174164,279.1998596,-2834.468506
127.0041809,265.9689941,-2801.629639,117.9066391,261.8676453,-2783.939941,123.5102005,261.522522,-2794.778564,134.6525574,275.4018555,-2827.653564,136.1723633,285.7026367,-2841.324463,137.6052246,279.2058411,-2834.471436
127.0109863,265.9837952,-2801.630615,117.8804398,261.884491,-2783.946777,123.5179825,261.5338745,-2794.780029,134.6572723,275.4181213,-2827.656494,136.1652069,285.7086792,-2841.328125,137.5964661,279.2133484,-2834.4729
127.0184174,265.9958801,-2801.631836,117.8667221,261.8962708,-2783.948486,123.5255814,261.5472412,-2794.781982,134.6591797,275.4338379,-2827.658447,136.162323,285.7141113,-2841.330078,137.5937805,279.2180481,-2834.475342
127.0223541,266.0045471,-2801.633301,117.8626785,261.9053345,-2783.952637,123.5252228,261.559082,-2794.783936,134.6575775,275.4435425,-2827.663574,136.1616364,285.7155151,-2841.329834,137.5932465,279.2191772,-2834.476318
127.0218811,266.0005188,-2801.635742,117.8659973,261.9013367,-2783.953125,123.5249252,261.5532532,-2794.785156,134.6601563,275.4379883,-2827.663574,136.1608276,285.7102661,-2841.331055,137.5926056,279.2151489,-2834.477539
127.0155869,265.9901428,-2801.634521,117.8904495,261.8867493,-2783.948242,123.5214539,261.5448303,-2794.784912,134.6577759,275.4299622,-2827.661865,136.1627045,285.702179,-2841.329346,137.5957642,279.2059631,-2834.47583
127.0126572,265.9844055,-2801.634033,117.9122543,261.8725891,-2783.943604,123.5185852,261.5378418,-2794.785889,134.6533966,275.4221497,-2827.662109,136.169342,285.6942749,-2841.327393,137.6029205,279.1965637,-2834.473877
127.0054932,265.9785156,-2801.635254,117.9308167,261.8614807,-2783.939941,123.5156631,261.5289307,-2794.784912,134.6493225,275.4131775,-2827.660645,136.1790771,285.6894226,-2841.326904,137.6140747,279.1907043,-2834.472656
127.008873,265.9708252,-2801.633545,117.9439316,261.8651123,-2783.938721,123.5178833,261.5212402,-2794.782471,134.6486206,275.407135,-2827.65918,136.188736,285.6867981,-2841.325684,137.6238709,279.1895447,-2834.469971
127.0042801,265.973938,-2801.632324,117.9579544,261.8518372,-2783.932373,123.518425,261.5241394,-2794.779785,134.6480408,275.4095154,-2827.657471,136.1985779,285.6871948,-2841.322021,137.6345367,279.1906738,-2834.466553
127.0123672,265.9805603,-2801.629395,117.9754944,261.8545532,-2783.927002,123.5203018,261.5336304,-2794.777832,134.6584015,275.4147949,-2827.654297,136.2000732,285.6928101,-2841.319336,137.6377106,279.1962585,-2834.466309
127.0131149,265.9862976,-2801.627441,117.991478,261.8692627,-2783.925781,123.5139694,261.5417786,-2794.779785,134.6499329,275.4240723,-2827.655029,136.2041321,285.6983337,-2841.318604,137.6424255,279.2015076,-2834.46582
127.014534,265.9891357,-2801.626221,118.0062332,261.8757629,-2783.923096,123.5140915,261.5445862,-2794.7771,134.6537628,275.4265137,-2827.653809,136.2058716,285.7026367,-2841.317627,137.6418457,279.2047119,-2834.463623
127.0181427,266.0002136,-2801.626953,118.0170136,261.8789978,-2783.92334,123.5229416,261.552063,-2794.778564,134.6651611,275.4316406,-2827.652588,136.205658,285.7063599,-2841.317383,137.6394501,279.2090149,-2834.463623
127.0232239,265.9956055,-2801.62915,118.0213852,261.8706665,-2783.924072,123.5206528,261.552063,-2794.781494,134.6643524,275.4309692,-2827.654541,136.2128143,285.7030334,-2841.319336,137.6463013,279.2064514,-2834.464111
127.0078888,265.982605,-2801.632568,118.0248413,261.8531799,-2783.922363,123.5084152,261.5407715,-2794.783447,134.656311,275.4167786,-2827.657959,136.2156982,285.6941528,-2841.323242,137.6485748,279.2006226,-2834.467773
127.0035172,265.9797668,-2801.635254,118.0203934,261.8621521,-2783.927002,123.5066376,261.5325317,-2794.786377,134.6473084,275.4135132,-2827.661133,136.2163086,285.6890259,-2841.323486,137.652771,279.1923523,-2834.46875
127.0096283,265.9821777,-2801.635498,118.012207,261.864563,-2783.929443,123.5097809,261.5378418,-2794.787354,134.6611481,275.4152222,-2827.660645,136.2253418,285.6876526,-2841.32251,137.6632233,279.1902771,-2834.468506
126.9993973,265.9827271,-2801.638184,117.9950714,261.8624573,-2783.933105,123.5031509,261.53479,-2794.789063,134.6566925,275.4110718,-2827.660156,136.2294312,285.68573,-2841.321777,137.6643677,279.1899719,-2834.468994
